iter	Passed	Remaining
1102	81385	287543
1103	81460	287472
1104	81569	287522
1105	81651	287479
1106	81728	287415
1107	81796	287321
1108	81865	287230
1109	81929	287122
1110	82002	287046
1111	82071	286955
1112	82146	286884
1113	82206	286762
1114	82271	286658
1115	82350	286603
1116	82419	286513
1117	82505	286482
1118	82573	286387
1119	82647	286314
1120	82724	286251
1121	82795	286167
1122	82867	286089
1123	82938	286006
1124	83009	285922
1125	83086	285858
1126	83168	285813
1127	83241	285735
1128	83320	285682
1129	83397	285616
1130	83465	285524
1131	83542	285462
1132	83621	285406
1133	83689	285310
1134	83767	285252
1135	83834	285156
1136	83900	285055
1137	83968	284960
1138	84037	284871
1139	84114	284808
1140	84186	284728
1141	84268	284681
1142	84347	284628
1143	84411	284519
1144	84485	284446
1145	84558	284371
1146	84630	284289
1147	84689	284167
1148	84770	284117
1149	84839	284029
1150	84918	283972
1151	84988	283883
1152	85060	283804
1153	85135	283735
1154	85205	283649
1155	85271	283548
1156	85335	283444
1157	85415	283389
1158	85475	283272
1159	85546	283189
1160	85626	283136
1161	85697	283054
1162	85779	283006
1163	85861	282960
1164	85939	282900
1165	86014	282829
1166	86087	282752
1167	86162	282683
1168	86236	282612
1169	86313	282548
1170	86390	282484
1171	86456	282386
1172	86543	282353
1173	86628	282317
1174	86711	282274
1175	86784	282197
1176	86857	282121
1177	86932	282051
1178	87005	281973
1179	87083	281913
1180	87157	281841
1181	87248	281822
1182	87326	281763
1183	87405	281706
1184	87486	281656
1185	87558	281576
1186	87627	281486
1187	87699	281406
1188	87776	281341
1189	87855	281285
1190	87916	281170
1191	87987	281087
1192	88059	281006
1193	88136	280943
1194	88201	280843
1195	88275	280767
1196	88352	280707
1197	88423	280622
1198	88498	280553
1199	88572	280478
1200	88636	280374
1201	88707	280290
1202	88789	280243
1203	88850	280129
1204	88927	280067
1205	88994	279970
1206	89064	279885
1207	89135	279804
1208	89222	279769
1209	89295	279693
1210	89373	279633
1211	89447	279559
1212	89526	279501
1213	89591	279402
1214	89671	279347
1215	89747	279280
1216	89828	279227
1217	89907	279169
1218	89978	279089
1219	90061	279041
1220	90129	278952
1221	90194	278851
1222	90272	278789
1223	90343	278707
1224	90411	278614
1225	90492	278564
1226	90563	278479
1227	90645	278432
1228	90719	278357
1229	90789	278273
1230	90871	278223
1231	90949	278163
1232	91026	278098
1233	91115	278073
1234	91181	277974
1235	91257	277906
1236	91318	277794
1237	91388	277709
1238	91459	277625
1239	91530	277544
1240	91596	277445
1241	91664	277355
1242	91731	277260
1243	91798	277166
1244	91868	277082
1245	91956	277050
1246	92035	276991
1247	92107	276912
1248	92176	276825
1249	92256	276770
1250	92337	276716
1251	92416	276658
1252	92486	276574
1253	92559	276498
1254	92633	276423
1255	92710	276361
1256	92784	276286
1257	92859	276215
1258	92936	276150
1259	93007	276070
1260	93065	275949
1261	93140	275880
1262	93209	275790
1263	93287	275730
1264	93360	275653
1265	93430	275567
1266	93509	275508
1267	93585	275441
1268	93649	275339
1269	93731	275290
1270	93811	275235
1271	93893	275184
1272	93981	275153
1273	94059	275090
1274	94131	275010
1275	94209	274950
1276	94288	274890
1277	94357	274803
1278	94431	274731
1279	94505	274657
1280	94576	274575
1281	94638	274466
1282	94708	274382
1283	94790	274332
1284	94853	274225
1285	94925	274148
1286	94991	274050
1287	95069	273989
1288	95152	273943
1289	95223	273860
1290	95293	273775
1291	95353	273662
1292	95440	273624
1293	95514	273551
1294	95596	273502
1295	95667	273421
1296	95754	273383
1297	95825	273300
1298	95907	273251
1299	95971	273149
1300	96038	273056
1301	96112	272982
1302	96173	272871
1303	96241	272782
1304	96307	272687
1305	96378	272606
1306	96444	272508
1307	96516	272430
1308	96603	272392
1309	96666	272290
1310	96732	272194
1311	96799	272101
1312	96869	272017
1313	96952	271969
1314	97036	271923
1315	97115	271863
1316	97199	271818
1317	97265	271723
1318	97334	271635
1319	97405	271555
1320	97482	271490
1321	97543	271379
1322	97621	271317
1323	97683	271212
1324	97751	271122
1325	97819	271032
1326	97893	270960
1327	97962	270873
1328	98023	270764
1329	98093	270679
1330	98160	270586
1331	98235	270515
1332	98308	270441
1333	98391	270391
1334	98467	270325
1335	98531	270222
1336	98613	270174
1337	98694	270117
1338	98757	270014
1339	98830	269940
1340	98905	269868
1341	98985	269812
1342	99061	269745
1343	99136	269674
1344	99211	269604
1345	99280	269518
1346	99359	269457
1347	99432	269382
1348	99502	269297
1349	99567	269199
1350	99641	269128
1351	99713	269049
1352	99771	268932
1353	99847	268865
1354	99915	268775
1355	99995	268719
1356	100056	268612
1357	100145	268578
1358	100219	268506
1359	100293	268432
1360	100360	268342
1361	100422	268235
1362	100502	268178
1363	100580	268115
1364	100649	268029
1365	100726	267964
1366	100799	267888
1367	100877	267825
1368	100957	267769
1369	101031	267697
1370	101106	267627
1371	101182	267558
1372	101270	267522
1373	101335	267424
1374	101415	267367
1375	101488	267292
1376	101548	267182
1377	101629	267128
1378	101704	267056
1379	101772	266969
1380	101842	266885
1381	101911	266797
1382	101980	266713
1383	102047	266620
1384	102118	266539
1385	102188	266455
1386	102266	266395
1387	102350	266346
1388	102433	266297
1389	102501	266209
1390	102577	266140
1391	102642	266045
1392	102714	265965
1393	102773	265855
1394	102861	265817
1395	102941	265760
1396	103011	265677
1397	103080	265590
1398	103157	265524
1399	103239	265472
1400	103309	265389
1401	103385	265321
1402	103454	265235
1403	103526	265156
1404	103608	265105
1405	103679	265024
1406	103751	264945
1407	103829	264883
1408	103910	264828
1409	103979	264741
1410	104058	264681
1411	104118	264573
1412	104197	264513
1413	104275	264448
1414	104391	264483
1415	104458	264392
1416	104528	264309
1417	104603	264238
1418	104679	264171
1419	104753	264095
1420	104821	264008
1421	104900	263947
1422	104968	263860
1423	105048	263800
1424	105126	263737
1425	105199	263661
1426	105273	263589
1427	105357	263541
1428	105434	263475
1429	105503	263390
1430	105587	263341
1431	105657	263259
1432	105721	263159
1433	105794	263084
1434	105870	263017
1435	105940	262933
